bin_idx,bin_label,compression_bzip2,compression_gzip,compression_zlib,condition,display_family_label,distinct_1,distinct_1_sub_ci_high,distinct_1_sub_ci_low,distinct_1_sub_mean,distinct_2,distinct_2_sub_ci_high,distinct_2_sub_ci_low,distinct_2_sub_mean,distinct_3,distinct_3_sub_ci_high,distinct_3_sub_ci_low,distinct_3_sub_mean,distinct_4,distinct_4_sub_ci_high,distinct_4_sub_ci_low,distinct_4_sub_mean,distinct_5,distinct_5_cumulative,distinct_5_sub_ci_high,distinct_5_sub_ci_low,distinct_5_sub_mean,internal_family_label,model_display,model_family,n_agents,n_posts,roster_name,run_id,run_uid,scale,scheme,simpson_5gram_effective,source_path,subsample_target_posts
2,Q3,0.37018332756831546,0.40152196471809065,0.401141473538568,mag5,Obsession prompting,0.2964583333333333,0.39401002170597454,0.349142778504163,0.37116998328669204,0.7650158061116965,0.8580298909661198,0.7848804245886265,0.8266492743328585,0.8946695095948828,0.9523918413307237,0.8955274813564472,0.9241060055813373,0.9367853290183388,0.9773907381097354,0.9322604067334098,0.9564962681487598,0.9587336244541484,0.9752184273232725,0.9896806761889954,0.9550048114542707,0.9744317091785669,obsession_prompting,GPT-5,gpt-5,10,55,GPT-5,obs-mag5-n10-run01-gpt-5-20260419,05155a79b700ad10d546875b19089a5693d74590,n10,normalized_quartile,4071.5062111801244,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,29
3,Q4,0.4140696309818751,0.43734515582214106,0.436562785239275,mag5,Obsession prompting,0.37622213531482207,0.37622213531482207,0.37622213531482207,0.3762221353148219,0.8223892405063291,0.8223892405063291,0.8223892405063291,0.8223892405063289,0.9295718287314926,0.9295718287314926,0.9295718287314926,0.9295718287314929,0.9647773279352226,0.9647773279352226,0.9647773279352226,0.9647773279352225,0.9807455960671856,0.9713800369844752,0.9807455960671856,0.9807455960671856,0.9807455960671854,obsession_prompting,GPT-5,gpt-5,10,29,GPT-5,obs-mag5-n10-run01-gpt-5-20260419,05155a79b700ad10d546875b19089a5693d74590,n10,normalized_quartile,2333.9134351743046,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,29
0,0-15m,0.3035053591181295,0.34002746309646414,0.3399702483121639,dom-tech,Single-model final runs,0.20085003035822707,0.2807619172610331,0.2533656307574714,0.26582132915185186,0.6699064960629921,0.7568872266270473,0.7219734439792771,0.7429331201258437,0.8894152848771973,0.9394170781098267,0.9098512465125813,0.9245459433228957,0.954637351528936,0.9790622869150638,0.9618920056046953,0.9713205687140696,0.9769437684129627,0.9769437684129627,0.9927555233624399,0.979446679458291,0.9860735373611881,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,107,Gemini Flash Lite,ec-dom-tech-n10-run01,05377070212bd282b603e8ff525b5f27999e1b5a,n10,fixed_15m,7317.715091847762,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-dom-tech-n10-run01,57
1,15-30m,0.2784230020716931,0.31598551907422523,0.31652960010044573,dom-tech,Single-model final runs,0.17645429362880888,0.2185098403399419,0.2073417602411288,0.2126146581931928,0.6131744919411353,0.6793299544253386,0.6466597949503986,0.6653466850469084,0.8565957446808511,0.9025760529629178,0.8756501187388186,0.8896352785423116,0.9388370423546303,0.9645808337241396,0.9463965649886678,0.9553183968664843,0.967296511627907,0.9696330087832777,0.9853957958804961,0.9670190603557608,0.9764742056174966,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,85,Gemini Flash Lite,ec-dom-tech-n10-run01,05377070212bd282b603e8ff525b5f27999e1b5a,n10,fixed_15m,6319.6795727636845,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-dom-tech-n10-run01,57
2,30-45m,0.3125702627305659,0.34071699213057416,0.3405504434358996,dom-tech,Single-model final runs,0.22995991983967937,0.22995991983967937,0.22995991983967937,0.2299599198396794,0.6736975857687421,0.6736975857687421,0.6736975857687421,0.6736975857687416,0.8782877772047447,0.8782877772047447,0.8782877772047447,0.8782877772047448,0.927505888510861,0.927505888510861,0.927505888510861,0.9275058885108614,0.9407545164718385,0.9633624193810634,0.9407545164718385,0.9407545164718385,0.9407545164718385,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,57,Gemini Flash Lite,ec-dom-tech-n10-run01,05377070212bd282b603e8ff525b5f27999e1b5a,n10,fixed_15m,3357.273933649289,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-dom-tech-n10-run01,57
3,45-60m,0.28566036153168645,0.31539655244725917,0.3151449062617959,dom-tech,Single-model final runs,0.18208023060293058,0.23077223460240767,0.21200212544556868,0.22128630220898043,0.5983827493261455,0.6819678066648212,0.626525621433499,0.6528979454504658,0.8234558639659915,0.8933745864317595,0.8254053887307139,0.8633278815810458,0.8935409752361502,0.9624423620165145,0.8815554960178373,0.9222374198310629,0.9137122002085506,0.9539641943734015,0.9754127126929745,0.9023943655477684,0.9401164959524094,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,82,Gemini Flash Lite,ec-dom-tech-n10-run01,05377070212bd282b603e8ff525b5f27999e1b5a,n10,fixed_15m,3244.0246913580245,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-dom-tech-n10-run01,57
0,Q1,0.30850063718219234,0.3461883970167339,0.34608394091963146,dom-tech,Single-model final runs,0.20737812911725956,0.4231879584195804,0.3564508156203658,0.39256010154146814,0.6800587293112653,0.8735327543184414,0.816612843242915,0.8470728851936385,0.8959967541249662,0.9768437809782986,0.9453572838619947,0.9635957779879125,0.9592927631578947,0.9946712900418675,0.9749800834597876,0.986121682343036,0.9808280077799388,0.9808280077799388,0.9993256374697063,0.9815639472447816,0.9946836607213079,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,98,Gemini Flash Lite,ec-dom-tech-n10-run01,05377070212bd282b603e8ff525b5f27999e1b5a,n10,normalized_quartile,6795.803252885626,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-dom-tech-n10-run01,19
1,Q2,0.2761785653722232,0.31229862642021367,0.31287095133118537,dom-tech,Single-model final runs,0.17401066516980074,0.3538923779443246,0.3099685036199496,0.33028273192946467,0.6026132651611987,0.81971370332623,0.7664585816053601,0.7945428894096728,0.8476135710178263,0.9604585427135679,0.92072698643091,0.9445217117367811,0.9310144083830593,0.9926898586067593,0.9573283586934949,0.9775449194556267,0.961243737105806,0.9689645308924485,0.9983142877488607,0.9709082441433367,0.9887846052883035,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,85,Gemini Flash Lite,ec-dom-tech-n10-run01,05377070212bd282b603e8ff525b5f27999e1b5a,n10,normalized_quartile,6172.894906166221,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-dom-tech-n10-run01,19
2,Q3,0.3534367615329292,0.37419089694852564,0.37295797801294567,dom-tech,Single-model final runs,0.31267217630853994,0.31267217630853994,0.31267217630853994,0.31267217630853983,0.7739009071877181,0.7739009071877181,0.7739009071877181,0.7739009071877183,0.9490806223479491,0.9490806223479491,0.9490806223479491,0.9490806223479494,0.9878136200716846,0.9878136200716846,0.9878136200716846,0.9878136200716847,0.997093023255814,0.9704427083333333,0.997093023255814,0.997093023255814,0.9970930232558141,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,19,Gemini Flash Lite,ec-dom-tech-n10-run01,05377070212bd282b603e8ff525b5f27999e1b5a,n10,normalized_quartile,1368.0462427745665,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-dom-tech-n10-run01,19
3,Q4,0.2708694146172497,0.3072393488049879,0.3080706615864219,dom-tech,Single-model final runs,0.15761891964525665,0.4051605599867065,0.33647653064352945,0.3705429438164559,0.5715848488992206,0.8498248626373626,0.7655841856805665,0.8169999642470303,0.8202951002227171,0.9781336148814822,0.9075592533957415,0.9562118288715016,0.8979447200566973,0.9980854813835647,0.9299361582460223,0.9859267087863947,0.9184351089937924,0.9539641943734015,1.0,0.927610367433696,0.9910741345985754,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,129,Gemini Flash Lite,ec-dom-tech-n10-run01,05377070212bd282b603e8ff525b5f27999e1b5a,n10,normalized_quartile,5892.586147611447,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-dom-tech-n10-run01,19
0,Q1,0.314400841353503,0.3879458990131217,0.3882516233964756,mag1,Obsession prompting,0.15351900639819346,0.4252506440336179,0.37948121244731414,0.40355251686625915,0.710086433385371,0.8968567243970759,0.8522861167079563,0.8757355552466725,0.8906225920789027,0.971148518011899,0.927246917893948,0.9568419106528158,0.9399196849779718,0.9877008297778571,0.9567932716396574,0.9761516582216027,0.9627101254833873,0.9627101254833873,0.996450641906529,0.9667130533040122,0.986121245215587,obsession_prompting,GPT-5,gpt-5,10,307,GPT-5,obs-mag1-n10-run01-gpt-5-20260419,05e3c7f9d60777242d07f3abb8663a3b6ba375d3,n10,normalized_quartile,17685.106680619047,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag1-5h,33
1,Q2,0.2943597469117204,0.3645616149442603,0.36512202470623684,mag1,Obsession prompting,0.14011600335607194,0.41148295224544834,0.3533575803616249,0.3855343911565733,0.6421737042373195,0.8829825109618139,0.8135939366827659,0.8528722800573741,0.8428063610851263,0.9701406061271549,0.9069125493291239,0.9471726222169804,0.9101626170349874,0.9885847657971711,0.9512549574823524,0.9757731850722913,0.9427737450551139,0.9510305766947585,0.9967241766623479,0.9666452738618451,0.986375823443243,obsession_prompting,GPT-5,gpt-5,10,344,GPT-5,obs-mag1-n10-run01-gpt-5-20260419,05e3c7f9d60777242d07f3abb8663a3b6ba375d3,n10,normalized_quartile,18676.14449433869,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag1-5h,33
2,Q3,0.40126410301848897,0.4258373205741627,0.4252466182290744,mag1,Obsession prompting,0.340499306518724,0.38327628232301825,0.3508164278124219,0.3689207354564031,0.7914175167077031,0.830934175229706,0.7869452657102866,0.8116444364233094,0.9050678087080657,0.9302402421346662,0.899385008403827,0.915148725360149,0.9406012314378849,0.9609746780259648,0.9341194528264756,0.9472345220316639,0.9584558823529412,0.946949111813527,0.9766182654193752,0.9520468129681664,0.9636638247681704,obsession_prompting,GPT-5,gpt-5,10,41,GPT-5,obs-mag1-n10-run01-gpt-5-20260419,05e3c7f9d60777242d07f3abb8663a3b6ba375d3,n10,normalized_quartile,2335.353535353536,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag1-5h,33
3,Q4,0.4028918368779392,0.4169298799747315,0.4162981680353759,mag1,Obsession prompting,0.33221897200167155,0.33221897200167155,0.33221897200167155,0.33221897200167155,0.7661016949152543,0.7661016949152543,0.7661016949152543,0.7661016949152541,0.8723678556080791,0.8723678556080791,0.8723678556080791,0.8723678556080788,0.9106364428945074,0.9106364428945074,0.9106364428945074,0.9106364428945075,0.9287925696594427,0.9409332860184528,0.9287925696594427,0.9287925696594427,0.9287925696594423,obsession_prompting,GPT-5,gpt-5,10,33,GPT-5,obs-mag1-n10-run01-gpt-5-20260419,05e3c7f9d60777242d07f3abb8663a3b6ba375d3,n10,normalized_quartile,1829.0236135957064,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag1-5h,33
0,0-15m,0.3179373507225458,0.36723542450641783,0.36742443768579136,mag1,Single-model final runs,0.19690591454430645,0.23760962459069981,0.22003843230783204,0.23000892082869773,0.6997224594363791,0.7480167610125168,0.7266403564055064,0.7368557200258234,0.8777344596058047,0.9101987052419782,0.8856593371800024,0.897538787351982,0.9365934065934066,0.9571876525540318,0.939374380500341,0.9473624739384608,0.9610751728753067,0.9610751728753067,0.9757102699435426,0.9620576797868754,0.9688201520285734,single_model_final,GPT-5,gpt-5,10,134,GPT-5,ec-mag1-run04,071b1111ea14702baa81d46e561002e9e8421824,n10,fixed_15m,7599.655511438835,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04,96
1,15-30m,0.3029689608636977,0.34333911702332753,0.3436861384229805,mag1,Single-model final runs,0.1804431938093563,0.22955107784300816,0.21341776929540954,0.22144508514690991,0.6490579537324112,0.714868919035209,0.6840717868530941,0.6984832705366466,0.8259128957903675,0.8719106997415279,0.8440142866639969,0.8568549698380902,0.8967901234567901,0.9310167745335884,0.904452244286269,0.9168141356524983,0.9332663063968832,0.9367724398747267,0.9567490964297697,0.9372670840252996,0.9474237192810575,single_model_final,GPT-5,gpt-5,10,143,GPT-5,ec-mag1-run04,071b1111ea14702baa81d46e561002e9e8421824,n10,fixed_15m,6081.437806166554,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04,96
2,30-45m,0.2991317745528743,0.3365466697203773,0.33665077349101585,mag1,Single-model final runs,0.18466413181242078,0.2285114764214076,0.21176240259864498,0.2203139083737086,0.6277240490006447,0.6878722528766847,0.654922264666373,0.6709955120510371,0.7916010498687664,0.8463984317330911,0.8049742524039889,0.8241508012712786,0.8625250501002004,0.9014269910385431,0.8708149936495423,0.8866581239619399,0.9017687074829932,0.9111358299344952,0.9380237892948173,0.9053687117885445,0.921178971881515,single_model_final,GPT-5,gpt-5,10,135,GPT-5,ec-mag1-run04,071b1111ea14702baa81d46e561002e9e8421824,n10,fixed_15m,5462.335692618807,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04,96
3,45-60m,0.2926629160806376,0.3086810439131114,0.30836849507735586,mag1,Single-model final runs,0.19747013352073084,0.19747013352073084,0.19747013352073084,0.1974701335207309,0.5554756769710041,0.5554756769710041,0.5554756769710041,0.5554756769710042,0.7144959529065489,0.7144959529065489,0.7144959529065489,0.7144959529065487,0.7960311479527756,0.7960311479527756,0.7960311479527756,0.7960311479527756,0.8404118404118404,0.9005611193976845,0.8404118404118404,0.8404118404118404,0.8404118404118407,single_model_final,GPT-5,gpt-5,10,96,GPT-5,ec-mag1-run04,071b1111ea14702baa81d46e561002e9e8421824,n10,fixed_15m,2634.5304590679007,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04,96
0,Q1,0.32344883755367987,0.3713534725307271,0.3714830445727825,mag1,Single-model final runs,0.20509033064424498,0.2082065176722955,0.20409132472172534,0.20667775493691823,0.7127218253053699,0.7173058908181874,0.7118447051259157,0.7144876132189821,0.8874342489772064,0.8905737379206514,0.8867137694756669,0.8883786918871359,0.9444971537001897,0.9473697993087247,0.9438248035576668,0.9448783526898105,0.968106872066434,0.968106872066434,0.9706329629420433,0.967607246159622,0.9684329500527354,single_model_final,GPT-5,gpt-5,10,123,GPT-5,ec-mag1-run04,071b1111ea14702baa81d46e561002e9e8421824,n10,normalized_quartile,7348.5344332091545,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04,121
1,Q2,0.3057250212112642,0.34602642317482124,0.34624863641873055,mag1,Single-model final runs,0.18473994111874387,0.19836321314114527,0.19208207699886848,0.19535037484151693,0.6499937632530872,0.6725458465518805,0.6561819731249497,0.6634387881302927,0.8239025628013195,0.8409456901150081,0.8241347734952386,0.8325444883950637,0.8919581773589776,0.9056030237748436,0.8897927005852542,0.8977815773021811,0.9284025223331581,0.9380692167577414,0.9389196157514359,0.9269773732374454,0.9329500818834019,single_model_final,GPT-5,gpt-5,10,135,GPT-5,ec-mag1-run04,071b1111ea14702baa81d46e561002e9e8421824,n10,normalized_quartile,5751.691880087354,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04,121
2,Q3,0.2983011181416313,0.3378694634653723,0.33808615757996013,mag1,Single-model final runs,0.18810438468671348,0.19777698700323612,0.1913258951241245,0.1946345410976046,0.6347708894878706,0.6532376907594328,0.6352697665511591,0.6432326184662956,0.7927581950349746,0.8094702857616809,0.7900024857730071,0.7994414739916981,0.8628874616029042,0.877196258223457,0.8582917277253176,0.8677739539737271,0.9020332717190388,0.912912782085911,0.9146262604600379,0.8977282745108053,0.9055742999622701,single_model_final,GPT-5,gpt-5,10,129,GPT-5,ec-mag1-run04,071b1111ea14702baa81d46e561002e9e8421824,n10,normalized_quartile,5088.271679868326,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04,121
3,Q4,0.29540243400552646,0.3149215121406314,0.3148921159386207,mag1,Single-model final runs,0.18459915611814345,0.18459915611814345,0.18459915611814345,0.18459915611814343,0.5714029100053889,0.5714029100053889,0.5714029100053889,0.571402910005389,0.7412780022034521,0.7412780022034521,0.7412780022034521,0.7412780022034524,0.8210328638497653,0.8210328638497653,0.8210328638497653,0.8210328638497656,0.8637586471944658,0.9005611193976845,0.8637586471944658,0.8637586471944658,0.8637586471944655,single_model_final,GPT-5,gpt-5,10,121,GPT-5,ec-mag1-run04,071b1111ea14702baa81d46e561002e9e8421824,n10,normalized_quartile,3732.306504961411,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04,121
0,0-15m,0.2583962871866948,0.3203545912391661,0.32142334270320916,mag5,Base model as tool,0.12150416572843954,0.16212972069642773,0.1506350028508671,0.1556783829846983,0.5988943767275363,0.6725207418905292,0.6473125747279204,0.659749700871088,0.8685542333470113,0.9073894932516205,0.8910435668328995,0.8986821049701608,0.9525622792127357,0.9703906230014487,0.9618619841567309,0.9661281616835937,0.9823184525183509,0.9823184525183509,0.9902677326359998,0.9854655980686334,0.9881700465649307,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,136,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,fixed_15m,20749.078892672358,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5,86
