model_family,condition,n_full_nonseed_posts,n_judged,weighted_novelty,weighted_semantic_repetition,weighted_narrative_convergence,weighted_groupthink,weighted_specificity,weighted_evidence_grounding,weighted_epistemic_caution,weighted_template_rigidity,weighted_source_citation_quality,collapse_index
moonshotai/kimi-k2.5,dom-tech,627,16,1.875,4.0,4.75,4.4375,1.8125,1.1875,2.875,3.25,1.0,4.109375
moonshotai/kimi-k2.5,mag0,1052,16,1.5625,4.125,4.5625,4.25,1.625,1.0625,2.625,3.25,1.0,4.046875
moonshotai/kimi-k2.5,mag1,455,16,1.8125,4.0,4.625,4.375,2.0625,1.3125,2.4375,3.0625,1.0,4.015625
moonshotai/kimi-k2.5,mag25,673,16,1.4375,4.1875,4.9375,4.6875,1.5625,1.0,2.125,3.625,1.0,4.359375
moonshotai/kimi-k2.5,mag5,650,16,2.0625,3.625,4.4375,4.0,2.0,1.1875,3.0,3.0,1.0,3.765625
nvidia/nemotron-3-super-120b-a12b:free,dom-agi,1,1,2.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,1.75
nvidia/nemotron-3-super-120b-a12b:free,dom-tech,2,2,2.0,2.5,3.5,2.5,2.0,1.0,3.5,2.5,1.0,2.75
nvidia/nemotron-3-super-120b-a12b:free,mag0,11,5,1.5454545454545454,2.909090909090909,3.1363636363636362,2.4545454545454546,1.5454545454545454,1.0,2.5454545454545454,3.1363636363636362,1.0,2.909090909090909
nvidia/nemotron-3-super-120b-a12b:free,mag1,121,16,1.625,4.1875,4.4375,3.9375,1.375,1.0,2.25,3.1875,1.0,3.9375
nvidia/nemotron-3-super-120b-a12b:free,mag25,3,3,2.0,2.3333333333333335,3.0,2.3333333333333335,2.0,1.0,3.6666666666666665,1.6666666666666667,1.0,2.3333333333333335
nvidia/nemotron-3-super-120b-a12b:free,mag5,1,1,2.0,2.0,3.0,2.0,2.0,1.0,4.0,2.0,1.0,2.25
olmo3-32b-base,dom-agi,405,16,1.1875,4.5625,4.8125,4.75,1.4375,1.125,1.25,4.25,1.0625,4.59375
olmo3-32b-base,dom-tech,473,16,1.125,4.375,4.75,4.75,1.4375,1.125,1.1875,4.0625,1.0,4.484375
olmo3-32b-base,mag0,629,16,1.3125,3.875,4.375,3.8125,1.625,1.125,1.4375,4.375,1.0,4.109375
olmo3-32b-base,mag1,406,16,1.0625,4.625,4.9375,4.875,1.125,1.0,1.375,4.125,1.0,4.640625
olmo3-32b-base,mag25,372,16,1.3125,4.0,4.6875,4.375,1.8125,1.25,1.5,4.3125,1.0,4.34375
olmo3-32b-base,mag5,389,16,1.5,4.1875,4.875,4.5625,2.0625,1.5,1.4375,4.1875,1.1875,4.453125
olmo3-32b-instruct,dom-agi,927,16,1.3125,4.375,4.75,4.375,2.0,1.125,1.875,4.0625,1.0,4.390625
olmo3-32b-instruct,dom-tech,772,16,1.5,4.1875,4.875,4.625,2.0,1.25,1.875,3.875,1.0,4.390625
olmo3-32b-instruct,mag0,1133,16,1.4375,4.25,4.625,4.3125,2.0625,1.1875,2.125,3.8125,1.0,4.25
olmo3-32b-instruct,mag1,969,16,1.25,4.6875,5.0,4.8125,1.4375,1.0,2.125,3.875,1.0,4.59375
olmo3-32b-instruct,mag25,939,16,1.3125,4.5,4.9375,4.6875,1.6875,1.0625,1.9375,3.75,1.0,4.46875
olmo3-32b-instruct,mag5,789,16,1.3125,4.625,4.8125,4.6875,1.5,1.1875,1.875,3.8125,1.0,4.484375
olmo3-32b-think,dom-agi,29,13,2.0,2.076923076923077,2.3076923076923075,1.8461538461538465,2.384615384615384,1.0769230769230769,2.076923076923077,3.1538461538461537,1.0769230769230769,2.3461538461538463
olmo3-32b-think,dom-tech,82,13,1.6923076923076923,2.923076923076923,3.1538461538461533,2.5384615384615383,2.3076923076923075,1.7692307692307692,2.076923076923077,3.4615384615384617,1.1538461538461535,3.019230769230769
olmo3-32b-think,mag0,29,8,2.375,2.25,2.875,2.125,2.25,1.125,3.125,3.25,1.0,2.625
olmo3-32b-think,mag1,23,9,2.2222222222222223,1.5555555555555556,1.6666666666666667,1.2222222222222223,2.3333333333333335,1.2222222222222223,2.5555555555555554,2.4444444444444446,1.0,1.7222222222222223
olmo3-32b-think,mag25,50,15,1.8666666666666665,2.3333333333333335,2.4,1.8666666666666665,2.8,1.2666666666666666,1.5333333333333334,3.2,1.1333333333333333,2.45
olmo3-32b-think,mag5,31,13,1.8461538461538465,2.230769230769231,2.5384615384615383,1.9230769230769231,2.4615384615384617,1.0769230769230769,1.9230769230769231,2.6923076923076925,1.0,2.3461538461538463
qwen3.5-35b-a3b-base,dom-agi,277,16,2.5625,3.4375,4.4375,4.0,2.625,1.3125,1.3125,2.375,1.0,3.5625
qwen3.5-35b-a3b-base,dom-tech,272,16,2.3125,3.1875,3.9375,3.5625,2.625,1.4375,1.1875,2.5625,1.0625,3.3125
qwen3.5-35b-a3b-base,mag0,211,16,2.0,3.8125,4.75,4.3125,2.4375,1.3125,1.25,2.75,1.0,3.90625
qwen3.5-35b-a3b-base,mag1,249,16,2.8125,2.25,2.75,1.8125,4.3125,3.0625,3.25,1.875,1.0,2.171875
qwen3.5-35b-a3b-base,mag25,270,16,2.125,3.5,4.375,4.125,1.8125,1.125,1.25,2.6875,1.0,3.671875
qwen3.5-35b-a3b-base,mag5,154,16,3.5625,2.25,3.125,2.3125,4.4375,3.4375,3.3125,1.9375,1.1875,2.40625
qwen3.5-35b-a3b-instruct,dom-agi,40,8,1.875,3.125,4.0,3.25,2.25,1.25,2.25,2.875,1.0,3.3125
qwen3.5-35b-a3b-instruct,dom-tech,32,12,2.5,2.75,3.5833333333333335,2.9166666666666665,3.1666666666666665,1.8333333333333333,3.0833333333333335,2.1666666666666665,1.0,2.8541666666666665
qwen3.5-35b-a3b-instruct,mag0,51,9,2.0,3.1111111111111107,3.6666666666666665,3.2222222222222223,2.4444444444444446,1.0,2.111111111111111,2.6666666666666665,1.0,3.1666666666666665
qwen3.5-35b-a3b-instruct,mag1,26,13,2.0,2.230769230769231,2.3846153846153846,1.6923076923076923,3.3076923076923075,1.3846153846153846,2.8461538461538463,2.3076923076923075,1.0,2.1538461538461537
qwen3.5-35b-a3b-instruct,mag25,21,5,2.4,2.0,2.8,1.6,3.6000000000000005,1.4,2.8,3.0,1.0,2.35
qwen3.5-35b-a3b-instruct,mag5,26,8,2.625,2.375,3.0,2.375,3.625,2.375,3.375,1.875,1.0,2.40625
z-ai/glm-5,dom-agi,417,16,3.0625,2.6875,3.625,2.75,2.6875,1.75,4.0625,1.6875,1.125,2.6875
z-ai/glm-5,dom-tech,253,16,2.5625,3.3125,4.375,3.75,2.4375,1.4375,3.75,2.3125,1.0625,3.4375
z-ai/glm-5,mag0,317,16,2.75,2.9375,3.875,3.125,2.75,1.75,3.4375,2.0,1.0625,2.984375
z-ai/glm-5,mag1,266,16,2.75,2.5625,3.4375,2.6875,2.75,1.625,3.875,2.0625,1.0625,2.6875
z-ai/glm-5,mag25,251,16,2.4375,3.3125,4.0625,3.1875,2.5625,1.4375,3.4375,2.5625,1.0,3.28125
z-ai/glm-5,mag5,228,16,2.5625,3.3125,4.1875,3.5,2.3125,1.4375,3.1875,2.25,1.0,3.3125
